,,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Runs,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
NXP NPU,nxp,55,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,9,2,0.2222,1.0000,0.3636,1273,17,98.70,7,99.45,85.00,16,2,0.1144,1.0000,0.2052
NXP NPU,nxp,57.5,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,9,2,0.2222,1.0000,0.3636,1273,17,98.70,7,99.45,85.00,16,2,0.1144,1.0000,0.2052
NXP NPU,nxp,60,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,9,2,0.2222,1.0000,0.3636,1273,17,98.70,7,99.45,85.00,16,2,0.1144,1.0000,0.2052
NXP NPU,nxp,62.5,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,4,1,0.2500,0.5000,0.3333,1273,17,98.70,7,99.45,85.00,13,2,0.1291,1.0000,0.2288
NXP NPU,nxp,65,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,4,1,0.2500,0.5000,0.3333,1273,17,98.70,7,99.45,85.00,13,2,0.1291,1.0000,0.2288
NXP NPU,nxp,67.5,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,4,1,0.2500,0.5000,0.3333,1273,17,98.70,7,99.45,85.00,13,2,0.1291,1.0000,0.2288
NXP NPU,nxp,70,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,4,1,0.2500,0.5000,0.3333,1273,17,98.70,7,99.45,85.00,13,2,0.1291,1.0000,0.2288
NXP NPU,nxp,72.5,10,1273,13,98.98,4,99.69,85.00,8,2,0.2500,1.0000,0.4000,1273,9,99.29,7,99.45,65.00,2,0,0.0000,0.0000,0.0000,1273,17,98.70,7,99.45,85.00,11,2,0.1818,1.0000,0.3077
NXP NPU,nxp,75,10,1273,13,98.98,4,99.69,85.00,8,2,0.2500,1.0000,0.4000,1273,9,99.29,7,99.45,65.00,2,0,0.0000,0.0000,0.0000,1273,17,98.70,7,99.45,85.00,11,2,0.1818,1.0000,0.3077
NXP NPU,nxp,77.5,10,1273,13,98.98,4,99.69,85.00,8,2,0.2500,1.0000,0.4000,1273,9,99.29,7,99.45,65.00,2,0,0.0000,0.0000,0.0000,1273,17,98.70,7,99.45,85.00,11,2,0.1818,1.0000,0.3077
NXP NPU,nxp,80,10,1273,13,98.98,4,99.69,85.00,8,2,0.2500,1.0000,0.4000,1273,9,99.29,7,99.45,65.00,2,0,0.0000,0.0000,0.0000,1273,17,98.70,7,99.45,85.00,11,2,0.1818,1.0000,0.3077
NXP NPU,nxp,82.5,10,1273,13,98.98,4,99.69,85.00,2,1,0.5000,0.5000,0.5000,1273,9,99.29,7,99.45,65.00,1,0,0.0000,0.0000,0.0000,1273,17,98.70,7,99.45,85.00,5,1,0.1834,0.5000,0.2679
NXP NPU,nxp,85,10,1273,13,98.98,4,99.69,85.00,2,1,0.5000,0.5000,0.5000,1273,9,99.29,7,99.45,65.00,1,0,0.0000,0.0000,0.0000,1273,17,98.70,7,99.45,85.00,5,1,0.1834,0.5000,0.2679
NXP NPU,nxp,87.5,10,1273,13,98.98,4,99.69,85.00,1,1,1.0000,0.5000,0.6667,1273,9,99.29,7,99.45,65.00,1,0,0.0000,0.0000,0.0000,1273,17,98.70,7,99.45,85.00,4,1,0.2500,0.5000,0.3333
NXP NPU,nxp,90,10,1273,13,98.98,4,99.69,85.00,1,1,1.0000,0.5000,0.6667,1273,9,99.29,7,99.45,65.00,1,0,0.0000,0.0000,0.0000,1273,17,98.70,7,99.45,85.00,4,1,0.2500,0.5000,0.3333
NXP NPU,nxp,92.5,10,1273,13,98.98,4,99.69,85.00,0,0,0.0000,0.0000,0.0000,1273,9,99.29,7,99.45,65.00,0,0,0.0000,0.0000,0.0000,1273,17,98.70,7,99.45,85.00,0,0,0.0000,0.0000,0.0000
NXP NPU,nxp,95,10,1273,13,98.98,4,99.69,85.00,0,0,0.0000,0.0000,0.0000,1273,9,99.29,7,99.45,65.00,0,0,0.0000,0.0000,0.0000,1273,17,98.70,7,99.45,85.00,0,0,0.0000,0.0000,0.0000
NXP NPU,nxp,97.5,10,1273,13,98.98,4,99.69,85.00,0,0,0.0000,0.0000,0.0000,1273,9,99.29,7,99.45,65.00,0,0,0.0000,0.0000,0.0000,1273,17,98.70,7,99.45,85.00,0,0,0.0000,0.0000,0.0000
NXP NPU,nxp,100,10,1273,13,98.98,4,99.69,85.00,0,0,0.0000,0.0000,0.0000,1273,9,99.29,7,99.45,65.00,0,0,0.0000,0.0000,0.0000,1273,17,98.70,7,99.45,85.00,0,0,0.0000,0.0000,0.0000
TMMA,ti,50,10,6138,8,99.87,6,99.90,80.00,8,2,0.2500,1.0000,0.4000,6138,9,99.85,6,99.90,90.00,9,2,0.2222,1.0000,0.3636,6138,17,99.72,3,99.95,100.00,17,2,0.1213,1.0000,0.2163
TMMA,ti,52.5,10,6138,8,99.87,6,99.90,80.00,8,2,0.2500,1.0000,0.4000,6138,9,99.85,6,99.90,90.00,9,2,0.2222,1.0000,0.3636,6138,17,99.72,3,99.95,100.00,17,2,0.1213,1.0000,0.2163
TMMA,ti,55,10,6138,8,99.87,6,99.90,80.00,8,2,0.2500,1.0000,0.4000,6138,9,99.85,6,99.90,90.00,9,2,0.2222,1.0000,0.3636,6138,17,99.72,3,99.95,100.00,17,2,0.1213,1.0000,0.2163
TMMA,ti,57.5,10,6138,8,99.87,6,99.90,80.00,8,2,0.2500,1.0000,0.4000,6138,9,99.85,6,99.90,90.00,9,2,0.2222,1.0000,0.3636,6138,17,99.72,3,99.95,100.00,17,2,0.1213,1.0000,0.2163
TMMA,ti,60,10,6138,8,99.87,6,99.90,80.00,8,2,0.2500,1.0000,0.4000,6138,9,99.85,6,99.90,90.00,9,2,0.2222,1.0000,0.3636,6138,17,99.72,3,99.95,100.00,17,2,0.1213,1.0000,0.2163
TMMA,ti,62.5,10,6138,8,99.87,6,99.90,80.00,7,2,0.2857,1.0000,0.4444,6138,9,99.85,6,99.90,90.00,7,2,0.2857,1.0000,0.4444,6138,17,99.72,3,99.95,100.00,15,2,0.1333,1.0000,0.2353
TMMA,ti,65,10,6138,8,99.87,6,99.90,80.00,7,2,0.2857,1.0000,0.4444,6138,9,99.85,6,99.90,90.00,7,2,0.2857,1.0000,0.4444,6138,17,99.72,3,99.95,100.00,15,2,0.1333,1.0000,0.2353
TMMA,ti,67.5,10,6138,8,99.87,6,99.90,80.00,7,2,0.2857,1.0000,0.4444,6138,9,99.85,6,99.90,90.00,7,2,0.2857,1.0000,0.4444,6138,17,99.72,3,99.95,100.00,15,2,0.1333,1.0000,0.2353
TMMA,ti,70,10,6138,8,99.87,6,99.90,80.00,7,2,0.2857,1.0000,0.4444,6138,9,99.85,6,99.90,90.00,7,2,0.2857,1.0000,0.4444,6138,17,99.72,3,99.95,100.00,15,2,0.1333,1.0000,0.2353
TMMA,ti,72.5,10,6138,8,99.87,6,99.90,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,6,2,0.3333,1.0000,0.5000,6138,17,99.72,3,99.95,100.00,12,2,0.1667,1.0000,0.2857
TMMA,ti,75,10,6138,8,99.87,6,99.90,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,6,2,0.3333,1.0000,0.5000,6138,17,99.72,3,99.95,100.00,12,2,0.1667,1.0000,0.2857
TMMA,ti,77.5,10,6138,8,99.87,6,99.90,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,6,2,0.3333,1.0000,0.5000,6138,17,99.72,3,99.95,100.00,12,2,0.1667,1.0000,0.2857
TMMA,ti,80,10,6138,8,99.87,6,99.90,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,6,2,0.3333,1.0000,0.5000,6138,17,99.72,3,99.95,100.00,12,2,0.1667,1.0000,0.2857
