,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
Google TPU,coral,50,159,14,91.19,1,99.37,90.00,14,1,0.0714,1.0000,0.1333,159,15,90.57,7,95.60,90.00,15,2,0.1250,1.0000,0.2222,159,18,88.68,4,97.48,90.00,18,1,0.0556,1.0000,0.1053
Google TPU,coral,52.5,159,14,91.19,1,99.37,90.00,14,1,0.0714,1.0000,0.1333,159,15,90.57,7,95.60,90.00,15,2,0.1250,1.0000,0.2222,159,18,88.68,4,97.48,90.00,18,1,0.0556,1.0000,0.1053
Google TPU,coral,55,159,14,91.19,1,99.37,90.00,14,1,0.0714,1.0000,0.1333,159,15,90.57,7,95.60,90.00,15,2,0.1250,1.0000,0.2222,159,18,88.68,4,97.48,90.00,18,1,0.0556,1.0000,0.1053
Google TPU,coral,57.5,159,14,91.19,1,99.37,90.00,14,1,0.0714,1.0000,0.1333,159,15,90.57,7,95.60,90.00,15,2,0.1250,1.0000,0.2222,159,18,88.68,4,97.48,90.00,18,1,0.0556,1.0000,0.1053
Google TPU,coral,60,159,14,91.19,1,99.37,90.00,14,1,0.0714,1.0000,0.1333,159,15,90.57,7,95.60,90.00,15,2,0.1250,1.0000,0.2222,159,18,88.68,4,97.48,90.00,18,1,0.0556,1.0000,0.1053
Google TPU,coral,62.5,159,14,91.19,1,99.37,90.00,13,1,0.0769,1.0000,0.1429,159,15,90.57,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,18,88.68,4,97.48,90.00,15,1,0.0667,1.0000,0.1250
Google TPU,coral,65,159,14,91.19,1,99.37,90.00,13,1,0.0769,1.0000,0.1429,159,15,90.57,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,18,88.68,4,97.48,90.00,15,1,0.0667,1.0000,0.1250
Google TPU,coral,67.5,159,14,91.19,1,99.37,90.00,13,1,0.0769,1.0000,0.1429,159,15,90.57,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,18,88.68,4,97.48,90.00,15,1,0.0667,1.0000,0.1250
Google TPU,coral,70,159,14,91.19,1,99.37,90.00,13,1,0.0769,1.0000,0.1429,159,15,90.57,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,18,88.68,4,97.48,90.00,15,1,0.0667,1.0000,0.1250
Google TPU,coral,72.5,159,14,91.19,1,99.37,90.00,8,1,0.1250,1.0000,0.2222,159,15,90.57,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,18,88.68,4,97.48,90.00,10,1,0.1000,1.0000,0.1818
Google TPU,coral,75,159,14,91.19,1,99.37,90.00,8,1,0.1250,1.0000,0.2222,159,15,90.57,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,18,88.68,4,97.48,90.00,10,1,0.1000,1.0000,0.1818
Google TPU,coral,77.5,159,14,91.19,1,99.37,90.00,8,1,0.1250,1.0000,0.2222,159,15,90.57,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,18,88.68,4,97.48,90.00,10,1,0.1000,1.0000,0.1818
Google TPU,coral,80,159,14,91.19,1,99.37,90.00,8,1,0.1250,1.0000,0.2222,159,15,90.57,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,18,88.68,4,97.48,90.00,10,1,0.1000,1.0000,0.1818
Google TPU,coral,82.5,159,14,91.19,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,15,90.57,7,95.60,90.00,8,2,0.2222,1.0000,0.3636,159,18,88.68,4,97.48,90.00,7,1,0.1429,1.0000,0.2500
Google TPU,coral,85,159,14,91.19,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,15,90.57,7,95.60,90.00,8,2,0.2222,1.0000,0.3636,159,18,88.68,4,97.48,90.00,7,1,0.1429,1.0000,0.2500
Google TPU,coral,87.5,159,14,91.19,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,15,90.57,7,95.60,90.00,8,2,0.2222,1.0000,0.3636,159,18,88.68,4,97.48,90.00,5,1,0.2000,1.0000,0.3333
Google TPU,coral,90,159,14,91.19,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,15,90.57,7,95.60,90.00,8,2,0.2222,1.0000,0.3636,159,18,88.68,4,97.48,90.00,5,1,0.2000,1.0000,0.3333
Google TPU,coral,92.5,159,14,91.19,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,15,90.57,7,95.60,90.00,4,0,0.0000,0.0000,0.0000,159,18,88.68,4,97.48,90.00,3,0,0.0000,0.0000,0.0000
Google TPU,coral,95,159,14,91.19,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,15,90.57,7,95.60,90.00,4,0,0.0000,0.0000,0.0000,159,18,88.68,4,97.48,90.00,3,0,0.0000,0.0000,0.0000
Google TPU,coral,97.5,159,14,91.19,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,15,90.57,7,95.60,90.00,4,0,0.0000,0.0000,0.0000,159,18,88.68,4,97.48,90.00,3,0,0.0000,0.0000,0.0000
Google TPU,coral,100,159,14,91.19,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,15,90.57,7,95.60,90.00,4,0,0.0000,0.0000,0.0000,159,18,88.68,4,97.48,90.00,3,0,0.0000,0.0000,0.0000
NXP NPU,nxp,50,1273,13,98.98,4,99.69,85.00,13,4,0.2667,1.0000,0.4211,1273,9,99.29,7,99.45,70.00,8,2,0.2500,1.0000,0.4000,1273,16,98.74,7,99.45,85.00,15,2,0.1333,1.0000,0.2353
NXP NPU,nxp,52.5,1273,13,98.98,4,99.69,85.00,13,4,0.2667,1.0000,0.4211,1273,9,99.29,7,99.45,70.00,8,2,0.2500,1.0000,0.4000,1273,16,98.74,7,99.45,85.00,15,2,0.1333,1.0000,0.2353
NXP NPU,nxp,55,1273,13,98.98,4,99.69,85.00,13,4,0.2667,1.0000,0.4211,1273,9,99.29,7,99.45,70.00,8,2,0.2500,1.0000,0.4000,1273,16,98.74,7,99.45,85.00,15,2,0.1333,1.0000,0.2353
NXP NPU,nxp,57.5,1273,13,98.98,4,99.69,85.00,13,4,0.2667,1.0000,0.4211,1273,9,99.29,7,99.45,70.00,8,2,0.2500,1.0000,0.4000,1273,16,98.74,7,99.45,85.00,15,2,0.1333,1.0000,0.2353
