Accelerator,Platform,Category,Total_Functions,Flagged_Functions,BER
Google TPU,coral,Relevant Functions,159,13,91.82
Google TPU,coral,KD Entry Point,159,15,90.57
Google TPU,coral,SMem Handling,159,18,88.68
NXP NPU,nxp,Relevant Functions,1273,14,98.90
NXP NPU,nxp,KD Entry Point,1273,10,99.21
NXP NPU,nxp,SMem Handling,1273,19,98.51
TMMA,ti,Relevant Functions,6138,6,99.90
TMMA,ti,KD Entry Point,6138,9,99.85
TMMA,ti,SMem Handling,6138,15,99.76
HAILO NPU,hailo,Relevant Functions,296,8,97.30
HAILO NPU,hailo,KD Entry Point,296,19,93.58
HAILO NPU,hailo,SMem Handling,296,23,92.23
NVIDIA GPU,nvidia,Relevant Functions,7624,29,99.62
NVIDIA GPU,nvidia,KD Entry Point,7624,40,99.48
NVIDIA GPU,nvidia,SMem Handling,7624,45,99.41
AWS INF,aws,Relevant Functions,635,8,98.74
AWS INF,aws,KD Entry Point,635,12,98.11
AWS INF,aws,SMem Handling,635,17,97.32
