,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
Google TPU,coral,50,159,15,90.57,1,99.37,90.00,14,1,0.0714,1.0000,0.1333,159,15,90.57,9,94.34,90.00,15,2,0.1250,1.0000,0.2222,159,19,88.05,7,95.60,85.00,19,1,0.0526,1.0000,0.1000
Google TPU,coral,52.5,159,15,90.57,1,99.37,90.00,14,1,0.0714,1.0000,0.1333,159,15,90.57,9,94.34,90.00,15,2,0.1250,1.0000,0.2222,159,19,88.05,7,95.60,85.00,19,1,0.0526,1.0000,0.1000
Google TPU,coral,55,159,15,90.57,1,99.37,90.00,14,1,0.0714,1.0000,0.1333,159,15,90.57,9,94.34,90.00,15,2,0.1250,1.0000,0.2222,159,19,88.05,7,95.60,85.00,19,1,0.0526,1.0000,0.1000
Google TPU,coral,57.5,159,15,90.57,1,99.37,90.00,14,1,0.0714,1.0000,0.1333,159,15,90.57,9,94.34,90.00,15,2,0.1250,1.0000,0.2222,159,19,88.05,7,95.60,85.00,19,1,0.0526,1.0000,0.1000
Google TPU,coral,60,159,15,90.57,1,99.37,90.00,14,1,0.0714,1.0000,0.1333,159,15,90.57,9,94.34,90.00,15,2,0.1250,1.0000,0.2222,159,19,88.05,7,95.60,85.00,19,1,0.0526,1.0000,0.1000
Google TPU,coral,62.5,159,15,90.57,1,99.37,90.00,12,1,0.0833,1.0000,0.1538,159,15,90.57,9,94.34,90.00,13,2,0.1429,1.0000,0.2500,159,19,88.05,7,95.60,85.00,15,1,0.0667,1.0000,0.1250
Google TPU,coral,65,159,15,90.57,1,99.37,90.00,12,1,0.0833,1.0000,0.1538,159,15,90.57,9,94.34,90.00,13,2,0.1429,1.0000,0.2500,159,19,88.05,7,95.60,85.00,15,1,0.0667,1.0000,0.1250
Google TPU,coral,67.5,159,15,90.57,1,99.37,90.00,12,1,0.0833,1.0000,0.1538,159,15,90.57,9,94.34,90.00,13,2,0.1429,1.0000,0.2500,159,19,88.05,7,95.60,85.00,15,1,0.0667,1.0000,0.1250
Google TPU,coral,70,159,15,90.57,1,99.37,90.00,12,1,0.0833,1.0000,0.1538,159,15,90.57,9,94.34,90.00,13,2,0.1429,1.0000,0.2500,159,19,88.05,7,95.60,85.00,15,1,0.0667,1.0000,0.1250
Google TPU,coral,72.5,159,15,90.57,1,99.37,90.00,7,1,0.1429,1.0000,0.2500,159,15,90.57,9,94.34,90.00,12,2,0.1538,1.0000,0.2667,159,19,88.05,7,95.60,85.00,11,1,0.0909,1.0000,0.1667
Google TPU,coral,75,159,15,90.57,1,99.37,90.00,7,1,0.1429,1.0000,0.2500,159,15,90.57,9,94.34,90.00,12,2,0.1538,1.0000,0.2667,159,19,88.05,7,95.60,85.00,11,1,0.0909,1.0000,0.1667
Google TPU,coral,77.5,159,15,90.57,1,99.37,90.00,7,1,0.1429,1.0000,0.2500,159,15,90.57,9,94.34,90.00,12,2,0.1538,1.0000,0.2667,159,19,88.05,7,95.60,85.00,11,1,0.0909,1.0000,0.1667
