,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
NXP NPU,nxp,57.5,1273,12,99.06,6,99.53,85.00,12,4,0.2857,1.0000,0.4444,1273,8,99.37,7,99.45,65.00,8,2,0.2500,1.0000,0.4000,1273,16,98.74,16,98.74,70.00,15,1,0.0667,0.5000,0.1176
NXP NPU,nxp,60,1273,12,99.06,6,99.53,85.00,12,4,0.2857,1.0000,0.4444,1273,8,99.37,7,99.45,65.00,8,2,0.2500,1.0000,0.4000,1273,16,98.74,16,98.74,70.00,15,1,0.0667,0.5000,0.1176
NXP NPU,nxp,62.5,1273,12,99.06,6,99.53,85.00,12,4,0.2857,1.0000,0.4444,1273,8,99.37,7,99.45,65.00,4,1,0.2500,0.5000,0.3333,1273,16,98.74,16,98.74,70.00,13,1,0.0769,0.5000,0.1333
NXP NPU,nxp,65,1273,12,99.06,6,99.53,85.00,12,4,0.2857,1.0000,0.4444,1273,8,99.37,7,99.45,65.00,4,1,0.2500,0.5000,0.3333,1273,16,98.74,16,98.74,70.00,13,1,0.0769,0.5000,0.1333
NXP NPU,nxp,67.5,1273,12,99.06,6,99.53,85.00,12,4,0.2857,1.0000,0.4444,1273,8,99.37,7,99.45,65.00,4,1,0.2500,0.5000,0.3333,1273,16,98.74,16,98.74,70.00,13,1,0.0769,0.5000,0.1333
NXP NPU,nxp,70,1273,12,99.06,6,99.53,85.00,12,4,0.2857,1.0000,0.4444,1273,8,99.37,7,99.45,65.00,4,1,0.2500,0.5000,0.3333,1273,16,98.74,16,98.74,70.00,13,1,0.0769,0.5000,0.1333
NXP NPU,nxp,72.5,1273,12,99.06,6,99.53,85.00,8,4,0.4000,1.0000,0.5714,1273,8,99.37,7,99.45,65.00,2,0,0.0000,0.0000,0.0000,1273,16,98.74,16,98.74,70.00,11,1,0.0909,0.5000,0.1538
NXP NPU,nxp,75,1273,12,99.06,6,99.53,85.00,8,4,0.4000,1.0000,0.5714,1273,8,99.37,7,99.45,65.00,2,0,0.0000,0.0000,0.0000,1273,16,98.74,16,98.74,70.00,11,1,0.0909,0.5000,0.1538
NXP NPU,nxp,77.5,1273,12,99.06,6,99.53,85.00,8,4,0.4000,1.0000,0.5714,1273,8,99.37,7,99.45,65.00,2,0,0.0000,0.0000,0.0000,1273,16,98.74,16,98.74,70.00,11,1,0.0909,0.5000,0.1538
NXP NPU,nxp,80,1273,12,99.06,6,99.53,85.00,8,4,0.4000,1.0000,0.5714,1273,8,99.37,7,99.45,65.00,2,0,0.0000,0.0000,0.0000,1273,16,98.74,16,98.74,70.00,11,1,0.0909,0.5000,0.1538
NXP NPU,nxp,82.5,1273,12,99.06,6,99.53,85.00,2,2,0.6667,0.5000,0.5714,1273,8,99.37,7,99.45,65.00,1,0,0.0000,0.0000,0.0000,1273,16,98.74,16,98.74,70.00,7,1,0.1429,0.5000,0.2222
NXP NPU,nxp,85,1273,12,99.06,6,99.53,85.00,2,2,0.6667,0.5000,0.5714,1273,8,99.37,7,99.45,65.00,1,0,0.0000,0.0000,0.0000,1273,16,98.74,16,98.74,70.00,7,1,0.1429,0.5000,0.2222
NXP NPU,nxp,87.5,1273,12,99.06,6,99.53,85.00,1,2,1.0000,0.5000,0.6667,1273,8,99.37,7,99.45,65.00,1,0,0.0000,0.0000,0.0000,1273,16,98.74,16,98.74,70.00,6,1,0.1667,0.5000,0.2500
NXP NPU,nxp,90,1273,12,99.06,6,99.53,85.00,1,2,1.0000,0.5000,0.6667,1273,8,99.37,7,99.45,65.00,1,0,0.0000,0.0000,0.0000,1273,16,98.74,16,98.74,70.00,6,1,0.1667,0.5000,0.2500
NXP NPU,nxp,92.5,1273,12,99.06,6,99.53,85.00,0,0,0.0000,0.0000,0.0000,1273,8,99.37,7,99.45,65.00,0,0,0.0000,0.0000,0.0000,1273,16,98.74,16,98.74,70.00,1,0,0.0000,0.0000,0.0000
NXP NPU,nxp,95,1273,12,99.06,6,99.53,85.00,0,0,0.0000,0.0000,0.0000,1273,8,99.37,7,99.45,65.00,0,0,0.0000,0.0000,0.0000,1273,16,98.74,16,98.74,70.00,1,0,0.0000,0.0000,0.0000
NXP NPU,nxp,97.5,1273,12,99.06,6,99.53,85.00,0,0,0.0000,0.0000,0.0000,1273,8,99.37,7,99.45,65.00,0,0,0.0000,0.0000,0.0000,1273,16,98.74,16,98.74,70.00,1,0,0.0000,0.0000,0.0000
NXP NPU,nxp,100,1273,12,99.06,6,99.53,85.00,0,0,0.0000,0.0000,0.0000,1273,8,99.37,7,99.45,65.00,0,0,0.0000,0.0000,0.0000,1273,16,98.74,16,98.74,70.00,1,0,0.0000,0.0000,0.0000
TMMA,ti,50,6138,9,99.85,6,99.90,80.00,9,2,0.2222,1.0000,0.3636,6138,9,99.85,7,99.89,90.00,9,2,0.2222,1.0000,0.3636,6138,18,99.71,5,99.92,100.00,18,2,0.1111,1.0000,0.2000
TMMA,ti,52.5,6138,9,99.85,6,99.90,80.00,9,2,0.2222,1.0000,0.3636,6138,9,99.85,7,99.89,90.00,9,2,0.2222,1.0000,0.3636,6138,18,99.71,5,99.92,100.00,18,2,0.1111,1.0000,0.2000
TMMA,ti,55,6138,9,99.85,6,99.90,80.00,9,2,0.2222,1.0000,0.3636,6138,9,99.85,7,99.89,90.00,9,2,0.2222,1.0000,0.3636,6138,18,99.71,5,99.92,100.00,18,2,0.1111,1.0000,0.2000
TMMA,ti,57.5,6138,9,99.85,6,99.90,80.00,9,2,0.2222,1.0000,0.3636,6138,9,99.85,7,99.89,90.00,9,2,0.2222,1.0000,0.3636,6138,18,99.71,5,99.92,100.00,18,2,0.1111,1.0000,0.2000
TMMA,ti,60,6138,9,99.85,6,99.90,80.00,9,2,0.2222,1.0000,0.3636,6138,9,99.85,7,99.89,90.00,9,2,0.2222,1.0000,0.3636,6138,18,99.71,5,99.92,100.00,18,2,0.1111,1.0000,0.2000
TMMA,ti,62.5,6138,9,99.85,6,99.90,80.00,7,2,0.2857,1.0000,0.4444,6138,9,99.85,7,99.89,90.00,7,2,0.2857,1.0000,0.4444,6138,18,99.71,5,99.92,100.00,16,2,0.1250,1.0000,0.2222
TMMA,ti,65,6138,9,99.85,6,99.90,80.00,7,2,0.2857,1.0000,0.4444,6138,9,99.85,7,99.89,90.00,7,2,0.2857,1.0000,0.4444,6138,18,99.71,5,99.92,100.00,16,2,0.1250,1.0000,0.2222
TMMA,ti,67.5,6138,9,99.85,6,99.90,80.00,7,2,0.2857,1.0000,0.4444,6138,9,99.85,7,99.89,90.00,7,2,0.2857,1.0000,0.4444,6138,18,99.71,5,99.92,100.00,16,2,0.1250,1.0000,0.2222
TMMA,ti,70,6138,9,99.85,6,99.90,80.00,7,2,0.2857,1.0000,0.4444,6138,9,99.85,7,99.89,90.00,7,2,0.2857,1.0000,0.4444,6138,18,99.71,5,99.92,100.00,16,2,0.1250,1.0000,0.2222
TMMA,ti,72.5,6138,9,99.85,6,99.90,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,7,99.89,90.00,7,2,0.2857,1.0000,0.4444,6138,18,99.71,5,99.92,100.00,12,2,0.1667,1.0000,0.2857
TMMA,ti,75,6138,9,99.85,6,99.90,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,7,99.89,90.00,7,2,0.2857,1.0000,0.4444,6138,18,99.71,5,99.92,100.00,12,2,0.1667,1.0000,0.2857
TMMA,ti,77.5,6138,9,99.85,6,99.90,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,7,99.89,90.00,7,2,0.2857,1.0000,0.4444,6138,18,99.71,5,99.92,100.00,12,2,0.1667,1.0000,0.2857
TMMA,ti,80,6138,9,99.85,6,99.90,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,7,99.89,90.00,7,2,0.2857,1.0000,0.4444,6138,18,99.71,5,99.92,100.00,12,2,0.1667,1.0000,0.2857
TMMA,ti,82.5,6138,9,99.85,6,99.90,80.00,1,1,1.0000,0.5000,0.6667,6138,9,99.85,7,99.89,90.00,5,1,0.2000,0.5000,0.2857,6138,18,99.71,5,99.92,100.00,7,2,0.2857,1.0000,0.4444
TMMA,ti,85,6138,9,99.85,6,99.90,80.00,1,1,1.0000,0.5000,0.6667,6138,9,99.85,7,99.89,90.00,5,1,0.2000,0.5000,0.2857,6138,18,99.71,5,99.92,100.00,7,2,0.2857,1.0000,0.4444
TMMA,ti,87.5,6138,9,99.85,6,99.90,80.00,1,1,1.0000,0.5000,0.6667,6138,9,99.85,7,99.89,90.00,5,1,0.2000,0.5000,0.2857,6138,18,99.71,5,99.92,100.00,7,2,0.2857,1.0000,0.4444
TMMA,ti,90,6138,9,99.85,6,99.90,80.00,1,1,1.0000,0.5000,0.6667,6138,9,99.85,7,99.89,90.00,5,1,0.2000,0.5000,0.2857,6138,18,99.71,5,99.92,100.00,7,2,0.2857,1.0000,0.4444
TMMA,ti,92.5,6138,9,99.85,6,99.90,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,7,99.89,90.00,4,1,0.2500,0.5000,0.3333,6138,18,99.71,5,99.92,100.00,5,2,0.4000,1.0000,0.5714
TMMA,ti,95,6138,9,99.85,6,99.90,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,7,99.89,90.00,4,1,0.2500,0.5000,0.3333,6138,18,99.71,5,99.92,100.00,5,2,0.4000,1.0000,0.5714
TMMA,ti,97.5,6138,9,99.85,6,99.90,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,7,99.89,90.00,4,1,0.2500,0.5000,0.3333,6138,18,99.71,5,99.92,100.00,5,2,0.4000,1.0000,0.5714
TMMA,ti,100,6138,9,99.85,6,99.90,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,7,99.89,90.00,4,1,0.2500,0.5000,0.3333,6138,18,99.71,5,99.92,100.00,5,2,0.4000,1.0000,0.5714
HAILO NPU,hailo,50,296,7,97.64,4,98.65,85.00,6,2,0.3333,1.0000,0.5000,296,19,93.58,14,95.27,90.00,19,2,0.1053,1.0000,0.1905,296,21,92.91,19,93.58,80.00,21,1,0.0476,1.0000,0.0909
HAILO NPU,hailo,52.5,296,7,97.64,4,98.65,85.00,6,2,0.3333,1.0000,0.5000,296,19,93.58,14,95.27,90.00,19,2,0.1053,1.0000,0.1905,296,21,92.91,19,93.58,80.00,21,1,0.0476,1.0000,0.0909
HAILO NPU,hailo,55,296,7,97.64,4,98.65,85.00,6,2,0.3333,1.0000,0.5000,296,19,93.58,14,95.27,90.00,19,2,0.1053,1.0000,0.1905,296,21,92.91,19,93.58,80.00,21,1,0.0476,1.0000,0.0909
HAILO NPU,hailo,57.5,296,7,97.64,4,98.65,85.00,6,2,0.3333,1.0000,0.5000,296,19,93.58,14,95.27,90.00,19,2,0.1053,1.0000,0.1905,296,21,92.91,19,93.58,80.00,21,1,0.0476,1.0000,0.0909
HAILO NPU,hailo,60,296,7,97.64,4,98.65,85.00,6,2,0.3333,1.0000,0.5000,296,19,93.58,14,95.27,90.00,19,2,0.1053,1.0000,0.1905,296,21,92.91,19,93.58,80.00,21,1,0.0476,1.0000,0.0909
HAILO NPU,hailo,62.5,296,7,97.64,4,98.65,85.00,6,2,0.3333,1.0000,0.5000,296,19,93.58,14,95.27,90.00,19,2,0.1053,1.0000,0.1905,296,21,92.91,19,93.58,80.00,21,1,0.0476,1.0000,0.0909
HAILO NPU,hailo,65,296,7,97.64,4,98.65,85.00,6,2,0.3333,1.0000,0.5000,296,19,93.58,14,95.27,90.00,19,2,0.1053,1.0000,0.1905,296,21,92.91,19,93.58,80.00,21,1,0.0476,1.0000,0.0909
HAILO NPU,hailo,67.5,296,7,97.64,4,98.65,85.00,6,2,0.3333,1.0000,0.5000,296,19,93.58,14,95.27,90.00,19,2,0.1053,1.0000,0.1905,296,21,92.91,19,93.58,80.00,21,1,0.0476,1.0000,0.0909
HAILO NPU,hailo,70,296,7,97.64,4,98.65,85.00,6,2,0.3333,1.0000,0.5000,296,19,93.58,14,95.27,90.00,19,2,0.1053,1.0000,0.1905,296,21,92.91,19,93.58,80.00,21,1,0.0476,1.0000,0.0909
HAILO NPU,hailo,72.5,296,7,97.64,4,98.65,85.00,5,2,0.4000,1.0000,0.5714,296,19,93.58,14,95.27,90.00,19,2,0.1053,1.0000,0.1905,296,21,92.91,19,93.58,80.00,19,1,0.0526,1.0000,0.1000
