Accelerator,Platform,Category,Total_Functions,Flagged_Functions,Manually_Analyzed_Functions,NER
Google TPU,coral,Relevant Functions,159,13,1,99.37
Google TPU,coral,KD Entry Point,159,12,9,94.34
Google TPU,coral,SMem Handling,159,17,4,97.48
NXP NPU,nxp,Relevant Functions,1273,14,4,99.69
NXP NPU,nxp,KD Entry Point,1273,9,7,99.45
NXP NPU,nxp,SMem Handling,1273,18,6,99.53
TMMA,ti,Relevant Functions,6138,9,1,99.98
TMMA,ti,KD Entry Point,6138,9,6,99.90
TMMA,ti,SMem Handling,6138,17,3,99.95
HAILO NPU,hailo,Relevant Functions,296,9,2,99.32
HAILO NPU,hailo,KD Entry Point,296,19,15,94.93
HAILO NPU,hailo,SMem Handling,296,23,19,93.58
NVIDIA GPU,nvidia,Relevant Functions,7624,32,14,99.82
NVIDIA GPU,nvidia,KD Entry Point,7624,42,20,99.74
NVIDIA GPU,nvidia,SMem Handling,7624,47,30,99.61
AWS INF,aws,Relevant Functions,635,8,6,99.06
AWS INF,aws,KD Entry Point,635,12,5,99.21
AWS INF,aws,SMem Handling,635,18,14,97.80
