Accelerator,Platform,Category,Total_Functions,Flagged_Functions,Manually_Analyzed_Functions,NER
Google TPU,coral,Relevant Functions,159,12,1,99.37
Google TPU,coral,KD Entry Point,159,15,8,94.97
Google TPU,coral,SMem Handling,159,17,4,97.48
NXP NPU,nxp,Relevant Functions,1273,14,4,99.69
NXP NPU,nxp,KD Entry Point,1273,8,7,99.45
NXP NPU,nxp,SMem Handling,1273,17,17,98.66
TMMA,ti,Relevant Functions,6138,10,7,99.89
TMMA,ti,KD Entry Point,6138,10,2,99.97
TMMA,ti,SMem Handling,6138,17,2,99.97
HAILO NPU,hailo,Relevant Functions,296,7,3,98.99
HAILO NPU,hailo,KD Entry Point,296,19,14,95.27
HAILO NPU,hailo,SMem Handling,296,21,11,96.28
NVIDIA GPU,nvidia,Relevant Functions,7624,28,13,99.83
NVIDIA GPU,nvidia,KD Entry Point,7624,39,19,99.75
NVIDIA GPU,nvidia,SMem Handling,7624,42,28,99.63
AWS INF,aws,Relevant Functions,635,7,5,99.21
AWS INF,aws,KD Entry Point,635,12,7,98.90
AWS INF,aws,SMem Handling,635,18,13,97.95
