Accelerator,Platform,Category,Total_Functions,Flagged_Functions,BER
Google TPU,coral,Relevant Functions,159,12,92.45
Google TPU,coral,KD Entry Point,159,15,90.57
Google TPU,coral,SMem Handling,159,17,89.31
NXP NPU,nxp,Relevant Functions,1273,14,98.90
NXP NPU,nxp,KD Entry Point,1273,8,99.37
NXP NPU,nxp,SMem Handling,1273,17,98.66
TMMA,ti,Relevant Functions,6138,10,99.84
TMMA,ti,KD Entry Point,6138,10,99.84
TMMA,ti,SMem Handling,6138,17,99.72
HAILO NPU,hailo,Relevant Functions,296,7,97.64
HAILO NPU,hailo,KD Entry Point,296,19,93.58
HAILO NPU,hailo,SMem Handling,296,21,92.91
NVIDIA GPU,nvidia,Relevant Functions,7624,28,99.63
NVIDIA GPU,nvidia,KD Entry Point,7624,39,99.49
NVIDIA GPU,nvidia,SMem Handling,7624,42,99.45
AWS INF,aws,Relevant Functions,635,7,98.90
AWS INF,aws,KD Entry Point,635,12,98.11
AWS INF,aws,SMem Handling,635,18,97.17
