Accelerator,Platform,Category,Total_Functions,Flagged_Functions,BER
Google TPU,coral,Relevant Functions,159,8,94.97
Google TPU,coral,KD Entry Point,159,13,91.82
Google TPU,coral,SMem Handling,159,14,91.19
NXP NPU,nxp,Relevant Functions,1273,12,99.06
NXP NPU,nxp,KD Entry Point,1273,10,99.21
NXP NPU,nxp,SMem Handling,1273,13,98.98
TMMA,ti,Relevant Functions,6138,4,99.93
TMMA,ti,KD Entry Point,6138,9,99.85
TMMA,ti,SMem Handling,6138,15,99.76
AWS INF,aws,Relevant Functions,635,1,99.84
AWS INF,aws,KD Entry Point,635,11,98.27
AWS INF,aws,SMem Handling,635,16,97.48
