Accelerator,Platform,Category,Total_Functions,Flagged_Functions,Manually_Analyzed_Functions,VRC,NER
Google TPU,coral,Relevant Functions,159,14,1,90.00,99.37
Google TPU,coral,KD Entry Point,159,16,9,90.00,94.34
Google TPU,coral,SMem Handling,159,19,6,90.00,96.23
NXP NPU,nxp,Relevant Functions,1273,14,4,85.00,99.69
NXP NPU,nxp,KD Entry Point,1273,7,7,60.00,99.45
NXP NPU,nxp,SMem Handling,1273,19,7,80.00,99.45
TMMA,ti,Relevant Functions,6138,8,6,75.00,99.90
TMMA,ti,KD Entry Point,6138,8,6,90.00,99.90
TMMA,ti,SMem Handling,6138,17,2,100.00,99.97
HAILO NPU,hailo,Relevant Functions,296,9,3,85.00,98.99
HAILO NPU,hailo,KD Entry Point,296,19,13,95.00,95.61
HAILO NPU,hailo,SMem Handling,296,23,5,100.00,98.31
NVIDIA GPU,nvidia,Relevant Functions,7624,27,14,85.00,99.82
NVIDIA GPU,nvidia,KD Entry Point,7624,42,19,90.00,99.75
NVIDIA GPU,nvidia,SMem Handling,7624,43,25,90.00,99.67
AWS INF,aws,Relevant Functions,635,9,7,70.00,98.90
AWS INF,aws,KD Entry Point,635,13,8,90.00,98.74
AWS INF,aws,SMem Handling,635,19,13,85.00,97.95
